Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 20.27      9.13     9.13  7371136     0.00     0.00  __unpack_f
 13.03     15.01     5.87  1697783     0.00     0.00  _fpadd_parts
 12.97     20.85     5.85                             read
 11.92     26.22     5.37  1695137     0.00     0.00  __mulsf3
 10.97     31.17     4.94  3666095     0.00     0.00  __pack_f
  5.18     33.50     2.33  1157417     0.00     0.00  __addsf3
  4.61     35.58     2.08  1172965     0.00     0.00  __muldi3
  3.46     37.14     1.56   110604     0.00     0.00  __divsf3
  2.04     38.06     0.92    39564     0.00     0.00  matrice4d_product_v4d
  1.77     38.86     0.80    38848     0.00     0.00  __ieee754_acosf
  1.60     39.58     0.72        3     0.24     0.24  altera_avalon_jtag_uart_close
  1.54     40.27     0.69   540366     0.00     0.00  __subsf3
  1.42     40.91     0.64   109362     0.00     0.00  __ieee754_sqrtf
  1.23     41.46     0.56    39564     0.00     0.00  ss_planet_getBall3DIntensity
  0.93     41.88     0.42    79340     0.00     0.00  sqrtf
  0.84     42.26     0.38   160178     0.00     0.00  __clzsi2
  0.61     42.53     0.28    17954     0.00     0.00  __kernel_cosf
  0.49     42.76     0.22    80162     0.00     0.00  __ltsf2
  0.49     42.98     0.22    38848     0.00     0.00  acosf
  0.46     43.19     0.21   161872     0.00     0.00  __floatsisf
  0.42     43.38     0.19    22046     0.00     0.00  __kernel_sinf
  0.41     43.56     0.18   159962     0.00     0.00  __fpcmp_parts_f
  0.40     43.74     0.18    40923     0.00     0.00  __gtsf2
  0.37     43.91     0.17    18386     0.00     0.00  __ieee754_rem_pio2f
  0.36     44.07     0.16    42014     0.00     0.00  __fixsfsi
  0.35     44.23     0.16        9     0.02     4.10  ss_planet_drawBall3D
  0.22     44.33     0.10   118188     0.00     0.00  isnanf
  0.20     44.42     0.09    39424     0.00     0.00  sinf
  0.17     44.49     0.07    39564     0.00     0.00  __lesf2
  0.16     44.56     0.07    45324     0.00     0.00  ecran2d_setPixel
  0.11     44.61     0.05        1     0.05     0.05  ecran2d_clear
  0.11     44.66     0.05                             scalbnf
  0.11     44.71     0.05      173     0.00     0.00  altera_avalon_jtag_uart_timeout
  0.07     44.74     0.03    39564     0.00     0.00  vecteur4d_init
  0.07     44.77     0.03      587     0.00     0.00  matrice4d_product_m4d
  0.06     44.80     0.03    39568     0.00     0.00  fabsf
  0.05     44.83     0.02                             floorf
  0.05     44.85     0.02       10     0.00     0.01  ss_planet_render
  0.05     44.87     0.02        1     0.02     0.02  _exit
  0.04     44.89     0.02                             vecteur4d_init_v3d
  0.04     44.91     0.02                             camera3d_setOrientation
  0.03     44.92     0.01                             __gesf2
  0.02     44.93     0.01     1432     0.00     0.00  __pack_d
  0.02     44.94     0.01                             fstat
  0.02     44.95     0.01      582     0.00     0.00  memcpy
  0.02     44.95     0.01        9     0.00     0.00  ss_orbit_draw
  0.02     44.96     0.01                             __kernel_rem_pio2f
  0.02     44.97     0.01      716     0.00     0.00  __extendsfdf2
  0.01     44.97     0.01      616     0.00     0.00  matrice4d_product_v3d
  0.01     44.98     0.01      576     0.00     0.00  cosf
  0.01     44.99     0.01                             matrice4d_init
  0.01     44.99     0.01       30     0.00     0.00  __nesf2
  0.01     45.00     0.01      111     0.00     0.00  vecteur3d_normalize
  0.01     45.00     0.00      278     0.00     0.00  ss_orbit_line_clip
  0.01     45.01     0.00        9     0.00     0.11  ss_orbit_render
  0.01     45.01     0.00                             __mcount_record
  0.01     45.01     0.00      716     0.00     0.00  matherr
  0.00     45.02     0.00      716     0.00     0.00  __divdf3
  0.00     45.02     0.00       72     0.00     0.00  vecteur3d_sub
  0.00     45.02     0.00        9     0.00     0.03  ss_orbit_init
  0.00     45.02     0.00      716     0.00     0.00  __make_fp
  0.00     45.02     0.00       20     0.00     0.00  vecteur3d_add
  0.00     45.02     0.00        1     0.00    37.95  ss_solar_system_iterate
  0.00     45.02     0.00     2148     0.00     0.00  __unpack_d
  0.00     45.02     0.00       10     0.00     3.69  ss_planet_draw
  0.00     45.03     0.00                             nan
  0.00     45.03     0.00     1298     0.00     0.00  vecteur3d_init
  0.00     45.03     0.00   173492     0.00     0.00  alt_irq_handler
  0.00     45.03     0.00   173486     0.00     0.00  alt_avalon_timer_sc_irq
  0.00     45.03     0.00   173486     0.00     0.00  alt_tick
  0.00     45.03     0.00      716     0.00     0.00  __errno
  0.00     45.03     0.00      716     0.00     0.00  __make_dp
  0.00     45.03     0.00      716     0.00     0.00  __truncdfsf2
  0.00     45.03     0.00      616     0.00     0.00  vecteur4d_getVecteur3d
  0.00     45.03     0.00       81     0.00     0.00  vecteur3d_length
  0.00     45.03     0.00       20     0.00     0.00  vecteur3d_distance
  0.00     45.03     0.00       10     0.00     0.00  matrice4d_setRotationMatrixXYZ
  0.00     45.03     0.00       10     0.00     0.00  ss_planet_clear
  0.00     45.03     0.00       10     0.00     0.00  ss_planet_init
  0.00     45.03     0.00       10     0.00     0.00  ss_planet_swapDisplayBuffer
  0.00     45.03     0.00       10     0.00     0.00  vecteur3d_crossProduct
  0.00     45.03     0.00       10     0.00     0.00  vecteur3d_mul
  0.00     45.03     0.00       10     0.00     0.00  vecteur3d_negate
  0.00     45.03     0.00        9     0.00     0.00  ss_orbit_clear
  0.00     45.03     0.00        9     0.00     0.00  ss_orbit_swapDisplayBuffer
  0.00     45.03     0.00        9     0.00     0.00  ss_planet_updatePos
  0.00     45.03     0.00        9     0.00     0.00  ss_planet_updateSpeed
  0.00     45.03     0.00        6     0.00     0.00  __swrite
  0.00     45.03     0.00        6     0.00     0.00  _write_r
  0.00     45.03     0.00        6     0.00     0.00  alt_release_fd
  0.00     45.03     0.00        6     0.00     0.00  altera_avalon_jtag_uart_irq
  0.00     45.03     0.00        6     0.00     0.00  altera_avalon_jtag_uart_write
  0.00     45.03     0.00        6     0.00     0.00  altera_avalon_jtag_uart_write_fd
  0.00     45.03     0.00        6     0.00     0.00  strlen
  0.00     45.03     0.00        6     0.00     0.00  write
  0.00     45.03     0.00        4     0.00     0.00  __sfp_lock_acquire
  0.00     45.03     0.00        4     0.00     0.00  __sfp_lock_release
  0.00     45.03     0.00        3     0.00     0.00  __sclose
  0.00     45.03     0.00        3     0.00     0.00  __sfvwrite_r
  0.00     45.03     0.00        3     0.00     0.24  _close_r
  0.00     45.03     0.00        3     0.00     0.24  _fclose_r
  0.00     45.03     0.00        3     0.00     0.00  _fflush_r
  0.00     45.03     0.00        3     0.00     0.00  _puts_r
  0.00     45.03     0.00        3     0.00     0.00  alt_find_dev
  0.00     45.03     0.00        3     0.00     0.00  alt_get_fd
  0.00     45.03     0.00        3     0.00     0.00  altera_avalon_jtag_uart_close_fd
  0.00     45.03     0.00        3     0.00     0.24  close
  0.00     45.03     0.00        3     0.00     0.00  fclose
  0.00     45.03     0.00        3     0.00     0.00  memcmp
  0.00     45.03     0.00        3     0.00     0.00  open
  0.00     45.03     0.00        3     0.00     0.00  puts
  0.00     45.03     0.00        3     0.00     0.00  std
  0.00     45.03     0.00        2     0.00     0.00  alt_alarm_start
  0.00     45.03     0.00        2     0.00     0.00  alt_ic_irq_enable
  0.00     45.03     0.00        2     0.00     0.00  alt_ic_isr_register
  0.00     45.03     0.00        2     0.00     0.00  alt_iic_isr_register
  0.00     45.03     0.00        1     0.00     0.00  __call_exitprocs
  0.00     45.03     0.00        1     0.00     0.00  __sinit
  0.00     45.03     0.00        1     0.00     0.00  __smakebuf_r
  0.00     45.03     0.00        1     0.00     0.00  __swsetup_r
  0.00     45.03     0.00        1     0.00     0.00  _cleanup_r
  0.00     45.03     0.00        1     0.00     0.72  _fwalk
  0.00     45.03     0.00        1     0.00     0.00  alt_avalon_timer_sc_init
  0.00     45.03     0.00        1     0.00     0.00  alt_dcache_flush_all
  0.00     45.03     0.00        1     0.00     0.00  alt_dev_llist_insert
  0.00     45.03     0.00        1     0.00     0.00  alt_icache_flush
  0.00     45.03     0.00        1     0.00     0.00  alt_icache_flush_all
  0.00     45.03     0.00        1     0.00     0.00  alt_io_redirect
  0.00     45.03     0.00        1     0.00     0.00  alt_irq_init
  0.00     45.03     0.00        1     0.00     0.00  alt_load
  0.00     45.03     0.00        1     0.00    38.98  alt_main
  0.00     45.03     0.00        1     0.00     0.00  alt_sys_init
  0.00     45.03     0.00        1     0.00     0.00  altera_avalon_jtag_uart_init
  0.00     45.03     0.00        1     0.00     0.00  altera_nios2_qsys_irq_init
  0.00     45.03     0.00        1     0.00     0.00  camera3d_init
  0.00     45.03     0.00        1     0.00     0.74  exit
  0.00     45.03     0.00        1     0.00    38.98  main
  0.00     45.03     0.00        1     0.00     0.00  matrice4d_setProjectionMatrix
  0.00     45.03     0.00        1     0.00     0.00  matrice4d_setTranslationMatrix
