Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 21.72      9.40     9.40  1695137     0.00     0.00  __mulsf3
 19.18     17.70     8.30  3666095     0.00     0.00  __pack_f
 10.53     22.25     4.56  7371127     0.00     0.00  __unpack_f
  8.41     25.89     3.64  1173253     0.00     0.00  __muldi3
  6.40     28.66     2.77  1697783     0.00     0.00  _fpadd_parts
  4.24     30.49     1.83  1157417     0.00     0.00  __addsf3
  3.66     32.08     1.58   540366     0.00     0.00  __subsf3
  3.11     33.42     1.35   110523     0.00     0.00  __divsf3
  2.88     34.67     1.25    39564     0.00     0.00  matrice4d_product_v4d
  2.70     35.84     1.17   160178     0.00     0.00  __clzsi2
  2.21     36.80     0.96    38848     0.00     0.00  __ieee754_acosf
  1.78     37.57     0.77    39564     0.00     0.00  ss_planet_getBall3DIntensity
  1.71     38.31     0.74        3     0.25     0.25  altera_avalon_jtag_uart_close
  1.70     39.04     0.73   109362     0.00     0.00  __ieee754_sqrtf
  0.99     39.47     0.43                             __malloc_unlock
  0.87     39.84     0.38                             read
  0.85     40.21     0.37   161872     0.00     0.00  __floatsisf
  0.82     40.57     0.36    18386     0.00     0.00  __ieee754_rem_pio2f
  0.80     40.91     0.34    79340     0.00     0.00  sqrtf
  0.61     41.18     0.26    40923     0.00     0.00  __gtsf2
  0.54     41.41     0.23   159962     0.00     0.00  __fpcmp_parts_f
  0.51     41.63     0.22        9     0.02     4.45  ss_planet_drawBall3D
  0.45     41.82     0.19    17954     0.00     0.00  __kernel_cosf
  0.41     42.00     0.18    22046     0.00     0.00  __kernel_sinf
  0.33     42.14     0.14    39424     0.00     0.00  sinf
  0.32     42.28     0.14    42014     0.00     0.00  __fixsfsi
  0.30     42.41     0.13    80162     0.00     0.00  __ltsf2
  0.23     42.52     0.10    39564     0.00     0.00  vecteur4d_init
  0.18     42.59     0.08    38848     0.00     0.00  acosf
  0.16     42.66     0.07   118188     0.00     0.00  isnanf
  0.15     42.72     0.06    45324     0.00     0.00  ecran2d_setPixel
  0.15     42.79     0.06      587     0.00     0.00  matrice4d_product_m4d
  0.12     42.84     0.05                             __gesf2
  0.12     42.89     0.05                             vecteur4d_init_v3d
  0.11     42.94     0.05        1     0.05     0.05  ecran2d_clear
  0.11     42.99     0.05      576     0.00     0.00  cosf
  0.10     43.03     0.04    39564     0.00     0.00  __lesf2
  0.07     43.06     0.03        1     0.03     0.03  _exit
  0.06     43.09     0.03    39568     0.00     0.00  fabsf
  0.05     43.11     0.02       30     0.00     0.00  __nesf2
  0.04     43.13     0.02      616     0.00     0.00  matrice4d_product_v3d
