Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.66      7.75     7.75  7371280     0.00     0.00  __unpack_f
 13.77     13.79     6.04                             read
 12.49     19.27     5.48  1697783     0.00     0.00  _fpadd_parts
 11.12     24.15     4.88  3666167     0.00     0.00  __pack_f
 11.09     29.01     4.86  1695209     0.00     0.00  __mulsf3
  4.81     31.12     2.11  1157417     0.00     0.00  __addsf3
  4.19     32.96     1.84  1173037     0.00     0.00  __muldi3
  3.05     34.30     1.34   109362     0.00     0.00  __ieee754_sqrtf
  2.65     35.46     1.16    39564     0.00     0.00  matrice4d_product_v4d
  2.39     36.51     1.05   110604     0.00     0.00  __divsf3
  1.71     37.26     0.75        3     0.25     0.25  altera_avalon_jtag_uart_close
  1.64     37.98     0.72    38848     0.00     0.00  __ieee754_acosf
  1.59     38.68     0.70   540366     0.00     0.00  __subsf3
  1.29     39.25     0.57    39564     0.00     0.00  ss_planet_getBall3DIntensity
  1.17     39.76     0.51    79340     0.00     0.00  sqrtf
  0.91     40.16     0.40    17954     0.00     0.00  __kernel_cosf
  0.88     40.55     0.39                             copysignf
  0.79     40.90     0.35   160178     0.00     0.00  __clzsi2
  0.77     41.24     0.34    80162     0.00     0.00  __ltsf2
  0.74     41.56     0.32   159962     0.00     0.00  __fpcmp_parts_f
  0.50     41.78     0.22                             __malloc_unlock
  0.48     41.99     0.21    40923     0.00     0.00  __gtsf2
  0.47     42.19     0.20    38848     0.00     0.00  acosf
  0.44     42.39     0.20        9     0.02     3.89  ss_planet_drawBall3D
  0.42     42.57     0.18    42014     0.00     0.00  __fixsfsi
  0.41     42.75     0.18   161872     0.00     0.00  __floatsisf
  0.35     42.91     0.16    18386     0.00     0.00  __ieee754_rem_pio2f
  0.29     43.03     0.13   118188     0.00     0.00  isnanf
  0.28     43.16     0.12    39424     0.00     0.00  sinf
  0.23     43.26     0.10    22046     0.00     0.00  __kernel_sinf
  0.19     43.34     0.08    39564     0.00     0.00  __lesf2
  0.18     43.42     0.08    39564     0.00     0.00  vecteur4d_init
  0.15     43.49     0.07    45324     0.00     0.00  ecran2d_setPixel
