Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 16.73      2.91     2.91  1833559     0.00     0.00  __pack_f
 15.16      5.55     2.64  3628986     0.00     0.00  __unpack_f
 13.43      7.89     2.34   815229     0.00     0.00  _fpadd_parts
 11.41      9.87     1.99                             read
 10.97     11.78     1.91   833693     0.00     0.00  __mulsf3
  5.61     12.76     0.98    39564     0.00     0.00  matrice4d_product_v4d
  4.00     13.46     0.70   764825     0.00     0.00  __addsf3
  3.35     14.04     0.58   313751     0.00     0.00  __muldi3
  2.77     14.52     0.48        9     0.05     1.52  ss_planet_drawBall3D
  2.74     15.00     0.48    41848     0.00     0.00  __divsf3
  1.42     15.25     0.25    80764     0.00     0.00  __fixsfsi
  1.36     15.48     0.24    39776     0.00     0.00  __ieee754_sqrtf
  1.27     15.70     0.22                             copysignf
  1.08     15.89     0.19    50404     0.00     0.00  __subsf3
  1.04     16.07     0.18   140742     0.00     0.00  __clzsi2
  1.03     16.25     0.18   142090     0.00     0.00  __floatsisf
  1.00     16.43     0.17    82266     0.00     0.00  __fpcmp_parts_f
  0.97     16.59     0.17        3     0.06     0.06  altera_avalon_jtag_uart_close
  0.84     16.74     0.15                             __malloc_unlock
  0.78     16.88     0.14    39776     0.00     0.00  sqrtf
  0.44     16.95     0.08    45324     0.00     0.00  ecran2d_setPixel
  0.33     17.01     0.06    41314     0.00     0.00  __ltsf2
  0.31     17.06     0.05      587     0.00     0.00  matrice4d_product_m4d
  0.29     17.12     0.05        1     0.05     0.05  ecran2d_clear
  0.27     17.16     0.05    39776     0.00     0.00  isnanf
  0.26     17.21     0.05    39564     0.00     0.00  __lesf2
  0.17     17.24     0.03        1     0.03     0.03  _exit
  0.10     17.25     0.02                             camera3d_setOrientation
  0.08     17.27     0.01                             floorf
  0.08     17.28     0.01      616     0.00     0.00  matrice4d_product_v3d
  0.07     17.30     0.01     2075     0.00     0.00  __gtsf2
  0.07     17.31     0.01      716     0.00     0.00  __truncdfsf2
  0.06     17.32     0.01     1008     0.00     0.00  __ieee754_rem_pio2f
  0.04     17.33     0.01    39564     0.00     0.00  vecteur4d_init
  0.04     17.33     0.01                             acosf
  0.04     17.34     0.01      576     0.00     0.00  __kernel_cosf
  0.04     17.35     0.01                             matrice4d_init
  0.03     17.35     0.01     1432     0.00     0.00  __pack_d
  0.03     17.36     0.01       44     0.00     0.00  altera_avalon_jtag_uart_timeout
  0.03     17.36     0.00      576     0.00     0.00  sinf
  0.03     17.37     0.00                             scalbnf
  0.02     17.37     0.00        9     0.00     0.08  ss_orbit_render
  0.02     17.38     0.00      716     0.00     0.00  __extendsfdf2
  0.02     17.38     0.00      278     0.00     0.00  ss_orbit_line_clip
  0.02     17.38     0.00                             __mcount_record
  0.01     17.38     0.00      576     0.00     0.00  cosf
  0.01     17.39     0.00                             vecteur4d_init_v3d
  0.01     17.39     0.00     1298     0.00     0.00  vecteur3d_init
  0.01     17.39     0.00      716     0.00     0.00  __make_dp
  0.01     17.39     0.00       10     0.00     1.37  ss_planet_draw
  0.01     17.39     0.00      616     0.00     0.00  vecteur4d_getVecteur3d
  0.01     17.39     0.00      582     0.00     0.00  memcpy
  0.01     17.39     0.00      576     0.00     0.00  __kernel_sinf
  0.01     17.39     0.00       10     0.00     0.00  ss_planet_render
  0.01     17.39     0.00       10     0.00     0.00  vecteur3d_crossProduct
  0.01     17.40     0.00        9     0.00     0.00  ss_orbit_draw
  0.01     17.40     0.00        9     0.00     0.00  ss_planet_updateSpeed
  0.01     17.40     0.00      716     0.00     0.00  __make_fp
  0.01     17.40     0.00       20     0.00     0.00  vecteur3d_add
  0.00     17.40     0.00        1     0.00    14.48  ss_solar_system_iterate
  0.00     17.40     0.00                             nios2_pcsample
  0.00     17.40     0.00    44288     0.00     0.00  alt_irq_handler
  0.00     17.40     0.00    44282     0.00     0.00  alt_avalon_timer_sc_irq
  0.00     17.40     0.00    44282     0.00     0.00  alt_tick
  0.00     17.40     0.00     2148     0.00     0.00  __unpack_d
  0.00     17.40     0.00      720     0.00     0.00  fabsf
  0.00     17.40     0.00      716     0.00     0.00  __divdf3
  0.00     17.40     0.00      716     0.00     0.00  __errno
  0.00     17.40     0.00      716     0.00     0.00  matherr
  0.00     17.40     0.00      111     0.00     0.00  vecteur3d_normalize
  0.00     17.40     0.00       81     0.00     0.00  vecteur3d_length
  0.00     17.40     0.00       72     0.00     0.00  vecteur3d_sub
  0.00     17.40     0.00       30     0.00     0.00  __nesf2
  0.00     17.40     0.00       20     0.00     0.00  vecteur3d_distance
  0.00     17.40     0.00       10     0.00     0.00  matrice4d_setRotationMatrixXYZ
  0.00     17.40     0.00       10     0.00     0.00  ss_planet_clear
  0.00     17.40     0.00       10     0.00     0.00  ss_planet_init
  0.00     17.40     0.00       10     0.00     0.00  ss_planet_swapDisplayBuffer
  0.00     17.40     0.00       10     0.00     0.00  vecteur3d_mul
  0.00     17.40     0.00       10     0.00     0.00  vecteur3d_negate
  0.00     17.40     0.00        9     0.00     0.00  ss_orbit_clear
  0.00     17.40     0.00        9     0.00     0.03  ss_orbit_init
  0.00     17.40     0.00        9     0.00     0.00  ss_orbit_swapDisplayBuffer
  0.00     17.40     0.00        9     0.00     0.00  ss_planet_updatePos
  0.00     17.40     0.00        6     0.00     0.00  __swrite
  0.00     17.40     0.00        6     0.00     0.00  _write_r
  0.00     17.40     0.00        6     0.00     0.00  alt_release_fd
  0.00     17.40     0.00        6     0.00     0.00  altera_avalon_jtag_uart_irq
  0.00     17.40     0.00        6     0.00     0.00  altera_avalon_jtag_uart_write
  0.00     17.40     0.00        6     0.00     0.00  altera_avalon_jtag_uart_write_fd
  0.00     17.40     0.00        6     0.00     0.00  strlen
  0.00     17.40     0.00        6     0.00     0.00  write
  0.00     17.40     0.00        4     0.00     0.00  __sfp_lock_acquire
  0.00     17.40     0.00        4     0.00     0.00  __sfp_lock_release
  0.00     17.40     0.00        3     0.00     0.00  __sclose
  0.00     17.40     0.00        3     0.00     0.00  __sfvwrite_r
  0.00     17.40     0.00        3     0.00     0.06  _close_r
  0.00     17.40     0.00        3     0.00     0.06  _fclose_r
  0.00     17.40     0.00        3     0.00     0.00  _fflush_r
  0.00     17.40     0.00        3     0.00     0.00  _puts_r
  0.00     17.40     0.00        3     0.00     0.00  alt_find_dev
  0.00     17.40     0.00        3     0.00     0.00  alt_get_fd
  0.00     17.40     0.00        3     0.00     0.00  altera_avalon_jtag_uart_close_fd
  0.00     17.40     0.00        3     0.00     0.06  close
  0.00     17.40     0.00        3     0.00     0.00  fclose
  0.00     17.40     0.00        3     0.00     0.00  memcmp
  0.00     17.40     0.00        3     0.00     0.00  open
  0.00     17.40     0.00        3     0.00     0.00  puts
  0.00     17.40     0.00        3     0.00     0.00  std
  0.00     17.40     0.00        2     0.00     0.00  alt_alarm_start
  0.00     17.40     0.00        2     0.00     0.00  alt_ic_irq_enable
  0.00     17.40     0.00        2     0.00     0.00  alt_ic_isr_register
  0.00     17.40     0.00        2     0.00     0.00  alt_iic_isr_register
  0.00     17.40     0.00        1     0.00     0.00  __call_exitprocs
  0.00     17.40     0.00        1     0.00     0.00  __sinit
  0.00     17.40     0.00        1     0.00     0.00  __smakebuf_r
  0.00     17.40     0.00        1     0.00     0.00  __swsetup_r
  0.00     17.40     0.00        1     0.00     0.00  _cleanup_r
  0.00     17.40     0.00        1     0.00     0.17  _fwalk
  0.00     17.40     0.00        1     0.00     0.00  alt_avalon_timer_sc_init
  0.00     17.40     0.00        1     0.00     0.00  alt_dcache_flush_all
  0.00     17.40     0.00        1     0.00     0.00  alt_dev_llist_insert
  0.00     17.40     0.00        1     0.00     0.00  alt_icache_flush
  0.00     17.40     0.00        1     0.00     0.00  alt_icache_flush_all
  0.00     17.40     0.00        1     0.00     0.00  alt_io_redirect
  0.00     17.40     0.00        1     0.00     0.00  alt_irq_init
  0.00     17.40     0.00        1     0.00     0.00  alt_load
  0.00     17.40     0.00        1     0.00    14.98  alt_main
  0.00     17.40     0.00        1     0.00     0.00  alt_sys_init
  0.00     17.40     0.00        1     0.00     0.00  altera_avalon_jtag_uart_init
  0.00     17.40     0.00        1     0.00     0.00  altera_nios2_qsys_irq_init
  0.00     17.40     0.00        1     0.00     0.00  camera3d_init
  0.00     17.40     0.00        1     0.00     0.20  exit
  0.00     17.40     0.00        1     0.00    14.98  main
  0.00     17.40     0.00        1     0.00     0.00  matrice4d_setProjectionMatrix
  0.00     17.40     0.00        1     0.00     0.00  matrice4d_setTranslationMatrix
  0.00     17.40     0.00        1     0.00     0.00  memset
  0.00     17.40     0.00        1     0.00     0.02  ss_solar_system_calculateSpeedVariations
  0.00     17.40     0.00        1     0.00     0.26  ss_solar_system_init

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 32 byte(s) for 0.01% of 17.40 seconds

index % time    self  children    called     name
                0.00   14.98       1/1           _start [3]
[1]     86.1    0.00   14.98       1         alt_main [1]
                0.00   14.98       1/1           main [2]
                0.00    0.00       1/1           alt_sys_init [125]
                0.00    0.00       1/1           alt_dev_llist_insert [119]
                0.00    0.00       1/1           alt_irq_init [123]
                0.00    0.00       1/1           alt_io_redirect [122]
                0.00    0.00       1/6           alt_release_fd [101]
-----------------------------------------------
                0.00   14.98       1/1           alt_main [1]
[2]     86.1    0.00   14.98       1         main [2]
                0.00   14.47       1/1           ss_solar_system_iterate [4]
                0.00    0.26       1/1           ss_solar_system_init [22]
                0.00    0.20       1/1           exit [27]
                0.05    0.00       1/1           ecran2d_clear [44]
                0.00    0.00       1/1           camera3d_init [79]
                0.00    0.00       3/3           _puts_r [93]
                0.00    0.00       3/3           puts [111]
-----------------------------------------------
                                                 <spontaneous>
[3]     86.1    0.00   14.98                 _start [3]
                0.00   14.98       1/1           alt_main [1]
                0.00    0.00       1/1           alt_icache_flush [120]
                0.00    0.00       1/1           alt_icache_flush_all [121]
                0.00    0.00       1/1           alt_load [124]
-----------------------------------------------
                0.00   14.47       1/1           main [2]
[4]     83.2    0.00   14.47       1         ss_solar_system_iterate [4]
                0.00   13.67      10/10          ss_planet_draw [5]
                0.00    0.74       9/9           ss_orbit_render [14]
                0.00    0.03      10/10          ss_planet_render [48]
                0.00    0.02       1/1           ss_solar_system_calculateSpeedVariations [51]
                0.00    0.01       9/9           ss_orbit_draw [55]
                0.00    0.00       9/9           ss_planet_updateSpeed [80]
                0.00    0.00      10/20          vecteur3d_distance [78]
                0.00    0.00      45/2075        __gtsf2 [50]
                0.00    0.00       9/9           ss_planet_updatePos [84]
                0.00    0.00      10/39776       sqrtf [15]
                0.00    0.00      10/10          ss_planet_clear [88]
                0.00    0.00      10/10          ss_planet_swapDisplayBuffer [97]
                0.00    0.00       9/9           ss_orbit_swapDisplayBuffer [100]
                0.00    0.00       9/9           ss_orbit_clear [99]
-----------------------------------------------
                0.00   13.67      10/10          ss_solar_system_iterate [4]
[5]     78.6    0.00   13.67      10         ss_planet_draw [5]
                0.48   13.19       9/9           ss_planet_drawBall3D [6]
                0.00    0.00      18/80764       __fixsfsi [21]
                0.00    0.00      10/30          __nesf2 [86]
-----------------------------------------------
                0.48   13.19       9/9           ss_planet_draw [5]
[6]     78.6    0.48   13.19       9         ss_planet_drawBall3D [6]
