Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 19.83      8.52     8.52  1694551     0.00     0.00  __mulsf3
 18.63     16.53     8.01  3666085     0.00     0.00  __pack_f
 13.01     22.12     5.59  7370531     0.00     0.00  __unpack_f
  7.31     25.26     3.14  1174981     0.00     0.00  __muldi3
  6.04     27.86     2.60  1697783     0.00     0.00  _fpadd_parts
  4.39     29.75     1.89                             read
  4.19     31.55     1.80   540366     0.00     0.00  __subsf3
  3.97     33.25     1.71   110513     0.00     0.00  __divsf3
  3.75     34.86     1.61  1157417     0.00     0.00  __addsf3
  2.45     35.92     1.05    39564     0.00     0.00  matrice4d_product_v4d
  2.37     36.94     1.02    38848     0.00     0.00  __ieee754_acosf
  1.93     37.76     0.83   160178     0.00     0.00  __clzsi2
  1.74     38.51     0.75    39564     0.00     0.00  ss_planet_getBall3DIntensity
  1.63     39.21     0.70        3     0.23     0.23  altera_avalon_jtag_uart_close
  1.23     39.74     0.53   109362     0.00     0.00  __ieee754_sqrtf
  1.02     40.18     0.44    40923     0.00     0.00  __gtsf2
  0.95     40.59     0.41                             __malloc_unlock
  0.88     40.97     0.38    79340     0.00     0.00  sqrtf
  0.61     41.23     0.26   159962     0.00     0.00  __fpcmp_parts_f
  0.42     41.41     0.18    18386     0.00     0.00  __ieee754_rem_pio2f
  0.42     41.59     0.18    17954     0.00     0.00  __kernel_cosf
  0.31     41.72     0.13    22046     0.00     0.00  __kernel_sinf
  0.27     41.84     0.11        9     0.01     4.26  ss_planet_drawBall3D
  0.26     41.95     0.11   161872     0.00     0.00  __floatsisf
  0.23     42.05     0.10    38848     0.00     0.00  acosf
  0.20     42.13     0.09      587     0.00     0.00  matrice4d_product_m4d
  0.19     42.22     0.08    39564     0.00     0.00  vecteur4d_init
  0.19     42.30     0.08    80162     0.00     0.00  __ltsf2
  0.18     42.38     0.08    42014     0.00     0.00  __fixsfsi
  0.15     42.44     0.06   118188     0.00     0.00  isnanf
  0.13     42.49     0.06                             copysignf
  0.12     42.55     0.05    39424     0.00     0.00  sinf
  0.12     42.60     0.05    39564     0.00     0.00  __lesf2
  0.10     42.64     0.04     1383     0.00     0.00  __truncdfsf2
  0.10     42.68     0.04        1     0.04     0.04  ecran2d_clear
  0.09     42.72     0.04    45324     0.00     0.00  ecran2d_setPixel
  0.07     42.75     0.03        1     0.03     0.03  _exit
  0.05     42.77     0.02     2930     0.00     0.00  __pack_d
  0.04     42.79     0.02                             vecteur4d_init_v3d
  0.03     42.81     0.01                             floorf
  0.03     42.82     0.01    39568     0.00     0.00  fabsf
  0.03     42.83     0.01       10     0.00     0.00  ss_planet_render
  0.03     42.85     0.01      616     0.00     0.00  matrice4d_product_v3d
  0.03     42.86     0.01      658     0.00     0.00  __muldf3
  0.03     42.87     0.01        9     0.00     0.11  ss_orbit_render
  0.02     42.88     0.01                             camera3d_setOrientation
  0.02     42.89     0.01       30     0.00     0.00  __nesf2
  0.02     42.90     0.01                             scalbnf
  0.02     42.90     0.01     4313     0.00     0.00  __unpack_d
  0.02     42.91     0.01      807     0.00     0.00  __divdf3
  0.02     42.92     0.01      166     0.00     0.00  altera_avalon_jtag_uart_timeout
  0.01     42.92     0.01                             nan
  0.01     42.93     0.01                             matrice4d_init
  0.01     42.93     0.00        9     0.00     0.00  ss_orbit_draw
  0.01     42.94     0.00                             __mcount_record
  0.01     42.94     0.00                             __gesf2
  0.01     42.95     0.00      111     0.00     0.00  vecteur3d_normalize
  0.01     42.95     0.00     1465     0.00     0.00  __extendsfdf2
  0.01     42.95     0.00     1383     0.00     0.00  __make_fp
  0.01     42.96     0.00      716     0.00     0.00  matherr
  0.00     42.96     0.00                             __kernel_rem_pio2f
  0.00     42.96     0.00        9     0.00     0.03  ss_orbit_init
  0.00     42.96     0.00        1     0.00     0.03  ss_solar_system_calculateSpeedVariations
  0.00     42.96     0.00      716     0.00     0.00  __errno
  0.00     42.96     0.00     1465     0.00     0.00  __make_dp
  0.00     42.96     0.00      616     0.00     0.00  vecteur4d_getVecteur3d
  0.00     42.97     0.00      582     0.00     0.00  memcpy
  0.00     42.97     0.00      576     0.00     0.00  cosf
  0.00     42.97     0.00      278     0.00     0.00  ss_orbit_line_clip
  0.00     42.97     0.00        6     0.00     0.00  strlen
  0.00     42.97     0.00                             matrice4d_invert
  0.00     42.97     0.00   166412     0.00     0.00  alt_irq_handler
  0.00     42.97     0.00   166406     0.00     0.00  alt_avalon_timer_sc_irq
  0.00     42.97     0.00   166406     0.00     0.00  alt_tick
  0.00     42.97     0.00     1298     0.00     0.00  vecteur3d_init
  0.00     42.97     0.00       81     0.00     0.00  vecteur3d_length
  0.00     42.97     0.00       72     0.00     0.00  vecteur3d_sub
  0.00     42.97     0.00       20     0.00     0.00  vecteur3d_add
  0.00     42.97     0.00       20     0.00     0.00  vecteur3d_distance
  0.00     42.97     0.00       10     0.00     0.00  matrice4d_setRotationMatrixXYZ
  0.00     42.97     0.00       10     0.00     0.00  ss_planet_clear
  0.00     42.97     0.00       10     0.00     3.84  ss_planet_draw
  0.00     42.97     0.00       10     0.00     0.00  ss_planet_init
  0.00     42.97     0.00       10     0.00     0.00  ss_planet_swapDisplayBuffer
  0.00     42.97     0.00       10     0.00     0.00  vecteur3d_crossProduct
  0.00     42.97     0.00       10     0.00     0.00  vecteur3d_mul
  0.00     42.97     0.00       10     0.00     0.00  vecteur3d_negate
  0.00     42.97     0.00        9     0.00     0.00  ss_orbit_clear
  0.00     42.97     0.00        9     0.00     0.00  ss_orbit_swapDisplayBuffer
  0.00     42.97     0.00        9     0.00     0.00  ss_planet_updatePos
  0.00     42.97     0.00        9     0.00     0.00  ss_planet_updateSpeed
  0.00     42.97     0.00        6     0.00     0.00  __swrite
  0.00     42.97     0.00        6     0.00     0.00  _write_r
  0.00     42.97     0.00        6     0.00     0.00  alt_release_fd
  0.00     42.97     0.00        6     0.00     0.00  altera_avalon_jtag_uart_irq
  0.00     42.97     0.00        6     0.00     0.00  altera_avalon_jtag_uart_write
  0.00     42.97     0.00        6     0.00     0.00  altera_avalon_jtag_uart_write_fd
  0.00     42.97     0.00        6     0.00     0.00  write
  0.00     42.97     0.00        4     0.00     0.00  __sfp_lock_acquire
  0.00     42.97     0.00        4     0.00     0.00  __sfp_lock_release
  0.00     42.97     0.00        3     0.00     0.00  __sclose
  0.00     42.97     0.00        3     0.00     0.00  __sfvwrite_r
  0.00     42.97     0.00        3     0.00     0.23  _close_r
  0.00     42.97     0.00        3     0.00     0.23  _fclose_r
  0.00     42.97     0.00        3     0.00     0.00  _fflush_r
  0.00     42.97     0.00        3     0.00     0.00  _puts_r
  0.00     42.97     0.00        3     0.00     0.00  alt_find_dev
  0.00     42.97     0.00        3     0.00     0.00  alt_get_fd
  0.00     42.97     0.00        3     0.00     0.00  altera_avalon_jtag_uart_close_fd
  0.00     42.97     0.00        3     0.00     0.23  close
  0.00     42.97     0.00        3     0.00     0.00  fclose
  0.00     42.97     0.00        3     0.00     0.00  memcmp
  0.00     42.97     0.00        3     0.00     0.00  open
  0.00     42.97     0.00        3     0.00     0.00  puts
  0.00     42.97     0.00        3     0.00     0.00  std
  0.00     42.97     0.00        2     0.00     0.00  alt_alarm_start
  0.00     42.97     0.00        2     0.00     0.00  alt_ic_irq_enable
  0.00     42.97     0.00        2     0.00     0.00  alt_ic_isr_register
  0.00     42.97     0.00        2     0.00     0.00  alt_iic_isr_register
  0.00     42.97     0.00        1     0.00     0.00  __call_exitprocs
  0.00     42.97     0.00        1     0.00     0.00  __sinit
  0.00     42.97     0.00        1     0.00     0.00  __smakebuf_r
  0.00     42.97     0.00        1     0.00     0.00  __swsetup_r
  0.00     42.97     0.00        1     0.00     0.00  _cleanup_r
  0.00     42.97     0.00        1     0.00     0.70  _fwalk
  0.00     42.97     0.00        1     0.00     0.00  alt_avalon_timer_sc_init
  0.00     42.97     0.00        1     0.00     0.00  alt_dcache_flush_all
  0.00     42.97     0.00        1     0.00     0.00  alt_dev_llist_insert
  0.00     42.97     0.00        1     0.00     0.00  alt_icache_flush
  0.00     42.97     0.00        1     0.00     0.00  alt_icache_flush_all
  0.00     42.97     0.00        1     0.00     0.00  alt_io_redirect
  0.00     42.97     0.00        1     0.00     0.00  alt_irq_init
  0.00     42.97     0.00        1     0.00     0.00  alt_load
  0.00     42.97     0.00        1     0.00    40.54  alt_main
  0.00     42.97     0.00        1     0.00     0.00  alt_sys_init
  0.00     42.97     0.00        1     0.00     0.00  altera_avalon_jtag_uart_init
  0.00     42.97     0.00        1     0.00     0.00  altera_nios2_qsys_irq_init
  0.00     42.97     0.00        1     0.00     0.00  camera3d_init
  0.00     42.97     0.00        1     0.00     0.73  exit
  0.00     42.97     0.00        1     0.00    40.53  main
  0.00     42.97     0.00        1     0.00     0.00  matrice4d_setProjectionMatrix
  0.00     42.97     0.00        1     0.00     0.00  matrice4d_setTranslationMatrix
  0.00     42.97     0.00        1     0.00     0.00  memset
  0.00     42.97     0.00        1     0.00     0.30  ss_solar_system_init
  0.00     42.97     0.00        1     0.00    39.46  ss_solar_system_iterate

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 32 byte(s) for 0.00% of 42.97 seconds

index % time    self  children    called     name
                0.00   40.54       1/1           _start [2]
[1]     94.3    0.00   40.54       1         alt_main [1]
                0.00   40.53       1/1           main [3]
                0.00    0.00       1/1           alt_io_redirect [97]
                0.00    0.00       1/6           alt_release_fd [113]
                0.00    0.00       1/1           alt_sys_init [133]
                0.00    0.00       1/1           alt_dev_llist_insert [128]
                0.00    0.00       1/1           alt_irq_init [131]
-----------------------------------------------
                                                 <spontaneous>
[2]     94.3    0.00   40.54                 _start [2]
                0.00   40.54       1/1           alt_main [1]
                0.00    0.00       1/1           alt_load [132]
                0.00    0.00       1/1           alt_icache_flush [129]
                0.00    0.00       1/1           alt_icache_flush_all [130]
-----------------------------------------------
                0.00   40.53       1/1           alt_main [1]
[3]     94.3    0.00   40.53       1         main [3]
                0.00   39.46       1/1           ss_solar_system_iterate [4]
                0.00    0.73       1/1           exit [29]
                0.00    0.30       1/1           ss_solar_system_init [39]
                0.04    0.00       1/1           ecran2d_clear [51]
                0.00    0.00       1/1           camera3d_init [86]
                0.00    0.00       3/3           _puts_r [94]
                0.00    0.00       3/3           puts [120]
-----------------------------------------------
                0.00   39.46       1/1           main [3]
[4]     91.8    0.00   39.46       1         ss_solar_system_iterate [4]
                0.00   38.36      10/10          ss_planet_draw [5]
                0.01    0.99       9/9           ss_orbit_render [25]
                0.01    0.04      10/10          ss_planet_render [50]
                0.00    0.03       1/1           ss_solar_system_calculateSpeedVariations [54]
                0.00    0.00       9/9           ss_orbit_draw [66]
                0.00    0.00      10/10          ss_planet_clear [82]
                0.00    0.00      10/20          vecteur3d_distance [87]
                0.00    0.00      45/40923       __gtsf2 [35]
                0.00    0.00       9/9           ss_planet_updatePos [100]
                0.00    0.00      10/79340       sqrtf [24]
                0.00    0.00       9/9           ss_planet_updateSpeed [101]
                0.00    0.00      10/10          ss_planet_swapDisplayBuffer [109]
                0.00    0.00       9/9           ss_orbit_swapDisplayBuffer [112]
                0.00    0.00       9/9           ss_orbit_clear [111]
-----------------------------------------------
                0.00   38.36      10/10          ss_solar_system_iterate [4]
[5]     89.3    0.00   38.36      10         ss_planet_draw [5]
                0.11   38.24       9/9           ss_planet_drawBall3D [6]
                0.00    0.00      10/30          __nesf2 [68]
                0.00    0.00      18/42014       __fixsfsi [45]
-----------------------------------------------
                0.11   38.24       9/9           ss_planet_draw [5]
[6]     89.3    0.11   38.24       9         ss_planet_drawBall3D [6]
                0.75   37.46   39564/39564       ss_planet_getBall3DIntensity [7]
                0.03    0.00   39564/45324       ecran2d_setPixel [53]
