Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.65      9.62     9.62  1695137     0.00     0.00  __mulsf3
 19.89     18.07     8.45  3666095     0.00     0.00  __pack_f
 11.71     23.05     4.97  7371127     0.00     0.00  __unpack_f
  6.99     26.02     2.97  1173253     0.00     0.00  __muldi3
  6.53     28.79     2.77  1697783     0.00     0.00  _fpadd_parts
  4.49     30.70     1.91   540366     0.00     0.00  __subsf3
  3.98     32.39     1.69  1157417     0.00     0.00  __addsf3
  3.06     33.69     1.30    38848     0.00     0.00  __ieee754_acosf
  2.81     34.88     1.20   160178     0.00     0.00  __clzsi2
  2.57     35.97     1.09    39564     0.00     0.00  ss_planet_getBall3DIntensity
  1.92     36.79     0.82   109362     0.00     0.00  __ieee754_sqrtf
  1.92     37.60     0.81    39564     0.00     0.00  matrice4d_product_v4d
  1.58     38.27     0.67   110523     0.00     0.00  __divsf3
  1.09     38.73     0.46   161872     0.00     0.00  __floatsisf
  1.00     39.16     0.42    79340     0.00     0.00  sqrtf
  0.96     39.57     0.41                             __malloc_unlock
  0.92     39.96     0.39        3     0.13     0.13  altera_avalon_jtag_uart_close
  0.90     40.34     0.38                             read
  0.71     40.64     0.30   159962     0.00     0.00  __fpcmp_parts_f
  0.55     40.87     0.23    42014     0.00     0.00  __fixsfsi
  0.50     41.09     0.21        9     0.02     4.42  ss_planet_drawBall3D
  0.47     41.29     0.20    17954     0.00     0.00  __kernel_cosf
  0.35     41.44     0.15    40923     0.00     0.00  __gtsf2
  0.25     41.54     0.11    18386     0.00     0.00  __ieee754_rem_pio2f
  0.25     41.65     0.11    22046     0.00     0.00  __kernel_sinf
  0.23     41.74     0.10    38848     0.00     0.00  acosf
  0.22     41.84     0.09    45324     0.00     0.00  ecran2d_setPixel
  0.21     41.93     0.09   118188     0.00     0.00  isnanf
  0.15     41.99     0.06    39424     0.00     0.00  sinf
  0.14     42.05     0.06        1     0.06     0.06  ecran2d_clear
  0.13     42.11     0.05    80162     0.00     0.00  __ltsf2
  0.12     42.15     0.05      587     0.00     0.00  matrice4d_product_m4d
  0.08     42.19     0.03       10     0.00     0.01  ss_planet_render
  0.07     42.22     0.03        1     0.03     0.03  _exit
  0.07     42.25     0.03    39568     0.00     0.00  fabsf
  0.07     42.27     0.03    39564     0.00     0.00  vecteur4d_init
  0.05     42.29     0.02    39564     0.00     0.00  __lesf2
  0.05     42.31     0.02                             camera3d_setOrientation
  0.05     42.33     0.02                             __gesf2
  0.04     42.35     0.02      716     0.00     0.00  matherr
  0.04     42.36     0.01      576     0.00     0.00  cosf
  0.04     42.38     0.01                             vecteur4d_init_v3d
  0.03     42.39     0.01       30     0.00     0.00  __nesf2
  0.03     42.40     0.01                             scalbnf
  0.02     42.41     0.01      616     0.00     0.00  matrice4d_product_v3d
  0.02     42.42     0.01      869     0.00     0.00  __extendsfdf2
  0.01     42.43     0.01      797     0.00     0.00  __divdf3
  0.01     42.43     0.01                             matrice4d_init
  0.01     42.44     0.01     2535     0.00     0.00  __unpack_d
  0.01     42.44     0.01     1738     0.00     0.00  __pack_d
  0.01     42.45     0.00                             nan
  0.01     42.45     0.00      111     0.00     0.00  vecteur3d_normalize
  0.01     42.45     0.00        9     0.00     0.03  ss_orbit_init
  0.01     42.46     0.00                             __kernel_rem_pio2f
  0.01     42.46     0.00                             __mcount_record
  0.01     42.47     0.00        9     0.00     0.11  ss_orbit_render
  0.00     42.47     0.00      278     0.00     0.00  ss_orbit_line_clip
  0.00     42.47     0.00        9     0.00     0.00  ss_orbit_draw
  0.00     42.47     0.00        1     0.00     0.03  ss_solar_system_calculateSpeedVariations
  0.00     42.47     0.00     1298     0.00     0.00  vecteur3d_init
  0.00     42.47     0.00      869     0.00     0.00  __make_dp
  0.00     42.47     0.00       72     0.00     0.00  __muldf3
  0.00     42.48     0.00       72     0.00     0.00  vecteur3d_sub
  0.00     42.48     0.00       20     0.00     0.00  vecteur3d_add
  0.00     42.48     0.00        1     0.00    40.84  ss_solar_system_iterate
  0.00     42.48     0.00       10     0.00     0.00  vecteur3d_mul
  0.00     42.48     0.00                             nios2_pcsample
  0.00     42.48     0.00   148179     0.00     0.00  alt_irq_handler
  0.00     42.48     0.00   148173     0.00     0.00  alt_avalon_timer_sc_irq
  0.00     42.48     0.00   148173     0.00     0.00  alt_tick
  0.00     42.48     0.00      797     0.00     0.00  __make_fp
  0.00     42.48     0.00      797     0.00     0.00  __truncdfsf2
  0.00     42.48     0.00      716     0.00     0.00  __errno
  0.00     42.48     0.00      616     0.00     0.00  vecteur4d_getVecteur3d
